step,game,eps,max_tile,sum,total_reward
14789,127,0.4580600241855693,64,170,7.375
14890,128,0.45637093829864916,64,214,10.875
15113,129,0.45268532937384565,256,486,26.125
15204,130,0.45119838290499564,64,198,9.625
15298,131,0.44967263831930354,64,206,10.0
15497,132,0.4464764081865914,128,440,23.125
15568,133,0.4453470143936155,64,174,7.125
15661,134,0.4438762828024573,64,210,9.875
15817,135,0.4414309425433485,256,342,17.75
15962,136,0.4391820673178273,128,322,16.375
16036,137,0.4380431735351836,32,166,7.5
16190,138,0.43569187870338094,128,350,17.5
16297,139,0.43407299371462305,128,238,11.625
16437,140,0.43197290665929433,128,316,15.75
16552,141,0.4302629767313782,128,256,12.625
16677,142,0.42841964561126916,128,284,13.875
16809,143,0.42649015660718553,128,296,14.75
16938,144,0.4246212378558326,128,286,14.375
17030,145,0.4232983406705046,64,202,9.75
17098,146,0.42232583282654235,32,150,6.75
17181,147,0.4211448401334187,64,188,8.625
17278,148,0.41977298676875546,64,222,10.375
17409,149,0.4179344010164165,128,290,14.625
17531,150,0.41623655555925543,128,278,13.5
17664,151,0.4144012730407108,128,290,14.875
17805,152,0.4124731892426992,128,318,15.875
17956,153,0.410428158655109,128,332,17.125
18094,154,0.4085768451330326,128,298,15.5
18251,155,0.40649084582615197,128,356,17.875
18326,156,0.40550184908843184,32,166,7.625
18417,157,0.4043083093443737,64,200,9.625
18530,158,0.4028359651949726,64,248,12.375
18666,159,0.40107809792722837,128,302,15.25
18760,160,0.399872040946897,64,214,10.0
18920,161,0.39783577339274345,128,356,18.25
19028,162,0.39647297640192847,128,238,11.75
19206,163,0.3942471456506655,256,398,20.5
19402,164,0.3918249639521033,256,430,22.75
19497,165,0.3906616245272994,64,216,10.125
19584,166,0.3896022939783069,64,196,9.125
19716,167,0.38800595977154206,128,298,14.75
19843,168,0.38648239186222677,128,294,14.125
19918,169,0.38558825343944725,64,180,7.625
20050,170,0.38402457757296465,128,296,14.75
20146,171,0.38289530110886477,64,214,10.25
20246,172,0.38172601233738473,64,214,10.75
20328,173,0.3807725112708663,64,178,8.5
20425,174,0.37965072133637057,128,220,10.375
20529,175,0.37845529686033486,128,228,11.25
20622,176,0.37739266952478717,64,208,9.875
20754,177,0.37589462921753775,128,290,14.75
20823,178,0.3751162860486751,64,160,6.875
20962,179,0.3735580658657582,128,312,15.625
21076,180,0.3722897307600667,64,258,12.5
21133,181,0.3716587875003717,64,128,5.375
21210,182,0.3708098487095817,64,174,7.875
21277,183,0.37007431092163307,64,152,6.625
21467,184,0.368004239408838,256,424,22.0
21547,185,0.36713954239727437,64,180,8.25
21655,186,0.36597862684819205,128,244,11.75
21739,187,0.36508075586319694,64,198,8.75
21847,188,0.3639328034471715,64,228,11.75
21919,189,0.36317150411110144,64,160,7.25
22012,190,0.36219286045433474,64,206,9.875
22094,191,0.36133433543389026,64,182,8.5
22216,192,0.3600645235626224,128,274,13.5
22301,193,0.3591850808884802,64,196,8.875
22465,194,0.3575003575003575,128,362,18.75
22548,195,0.3566537320246519,64,184,8.625
22674,196,0.3553761300960937,128,288,14.0
22780,197,0.3543083900226757,64,238,11.5
22913,198,0.3529777200463107,128,296,14.875
23107,199,0.3510545679220378,256,442,22.5
23210,200,0.3500420050406049,64,244,11.125
23272,201,0.34943531253494353,32,140,6.0
23371,202,0.34847090964846256,64,226,10.625
23502,203,0.3472029331703794,128,296,14.625
23623,204,0.34603991916507487,128,272,13.375
23756,205,0.3447705207413945,128,302,14.875
23916,206,0.34325571177504394,128,362,18.25
24058,207,0.3419224246402976,128,310,16.0
24138,208,0.3411758283749113,64,174,8.25
24225,209,0.34036759700476515,64,190,9.125
24282,210,0.339840139198521,32,132,5.375
24344,211,0.3392682662034524,32,146,6.0
24489,212,0.3379383059828598,128,314,16.375
24577,213,0.33713623000782156,64,198,9.25
24670,214,0.3362927091740651,128,222,9.875
24815,215,0.3349859305909152,128,324,16.375
24889,216,0.3343229292037765,64,176,7.5
24989,217,0.3334311398010083,64,232,10.75
25045,218,0.3329338127580237,32,130,5.25
25127,219,0.332208254710713,64,188,8.5
25197,220,0.33159137331883176,64,162,7.0
25323,221,0.33048674087195623,128,284,14.0
25387,222,0.3299284715073772,64,150,6.25
25480,223,0.3291205897840969,64,206,9.875
25634,224,0.32779147217705984,128,348,17.5
25751,225,0.3267888421217746,128,260,12.875
25911,226,0.32542761188201297,128,362,18.25
25990,227,0.3247596778383996,64,176,8.125
26085,228,0.32396008811714394,128,214,10.125
26280,229,0.3223310985043837,256,434,22.625
26375,230,0.3215434083601286,64,214,10.125
26512,231,0.3204142315185071,128,304,15.375
26602,232,0.31967674287760217,64,206,9.5
26707,233,0.3188206187670569,128,242,11.375
26891,234,0.31733137010992357,128,408,21.25
26947,235,0.3168808781402895,32,122,5.25
27083,236,0.31579213298638303,128,316,15.25
27167,237,0.3151234023243502,64,186,8.75
27325,238,0.31387319522912743,128,346,18.0
27469,239,0.31274237534088917,128,306,16.25
27570,240,0.3119540803593711,64,222,10.875
27685,241,0.31106134129650365,128,262,12.625
27853,242,0.3097663122940054,128,380,19.25
27975,243,0.30883261272390367,128,274,13.5
28074,244,0.30807906541134716,64,222,10.625
28140,245,0.3075787401574803,64,150,6.5
28224,246,0.306944308024752,64,196,8.75
28298,247,0.3063875680180401,64,168,7.5
28394,248,0.30566831319998045,64,214,10.25
28510,249,0.30480370641307,128,250,12.75
28669,250,0.30362651509631033,128,354,18.125
28796,251,0.30269275474622237,128,304,14.125
28957,252,0.30151723472513686,128,354,18.375
29047,253,0.3008640816424772,64,210,9.5
29179,254,0.299911226277022,128,288,14.75
29310,255,0.298971537909591,128,284,14.625
29437,256,0.2980661468393066,128,284,14.125
29522,257,0.2974632335443339,64,190,8.875
29632,258,0.2966866040064559,128,238,12.0
29723,259,0.29604717807829856,64,206,9.625
29859,260,0.2950966736702944,128,310,15.25
29933,261,0.29458204699172813,64,168,7.5
30009,262,0.2940553765085041,64,184,7.75
30156,263,0.2930420105026257,128,330,16.625
30245,264,0.29243186337583343,64,204,9.375
30357,265,0.29166763889212965,128,268,12.25
30408,266,0.2913209657872658,32,120,4.625
30474,267,0.2908735514497138,32,156,6.5
30584,268,0.29013090706526784,64,240,12.0
30662,269,0.28960659839673786,64,184,8.0
30753,270,0.28899729498531895,64,208,9.625
30842,271,0.2884038576900005,64,210,9.375
31029,272,0.2871648785866893,128,418,21.625
31123,273,0.2865460880728056,64,206,10.0
31248,274,0.28572734753588735,64,270,13.875
31391,275,0.2847964275136133,128,328,16.125
31582,276,0.2835624517943832,128,422,22.125
31668,277,0.2830103242166274,64,196,9.0
31751,278,0.2824794919888816,64,192,8.625
31859,279,0.2817917446290493,128,254,11.75
31944,280,0.2812528125281253,64,194,8.875
32139,281,0.2800241940903694,256,428,22.625
32257,282,0.2792859217552562,128,264,13.0
32354,283,0.27868194586881884,128,218,10.375
32434,284,0.2781857835937152,64,176,8.25
32547,285,0.2774879570226652,64,256,12.375
32607,286,0.27711885073270226,32,130,5.75
32716,287,0.276450813871196,128,242,11.875
32802,288,0.27592600768178005,64,184,9.0
32862,289,0.27556104228208633,32,138,5.75
32950,290,0.27502750275027504,64,188,9.25
33047,291,0.27444178540847913,128,220,10.375
33231,292,0.2733375609542761,128,410,21.25
33305,293,0.27289597205545246,64,174,7.5
33369,294,0.2725152063485142,32,148,6.25
33528,295,0.271573824628487,256,358,18.125
33630,296,0.2709733362237156,64,236,11.0
33768,297,0.27016512492435374,128,306,15.5
33835,298,0.269774468544297,32,160,6.625
33923,299,0.2692630808004653,64,200,9.25
34026,300,0.2686669819025921,64,230,11.125
34117,301,0.2681425231138855,64,208,9.625
34310,302,0.26703695791497545,256,438,22.375
34392,303,0.2665699906167363,64,186,8.5
34487,304,0.2660310298593228,64,214,10.125
34563,305,0.26560142787327623,64,176,7.75
34704,306,0.2648080671129565,128,310,15.875
34804,307,0.26424826653137157,64,218,10.75
34953,308,0.2634185404505511,128,334,16.875
35165,309,0.26224693171089897,256,464,24.75
35275,310,0.2616431187859759,128,250,12.0
35400,311,0.2609603340292276,64,280,13.875
35600,312,0.2598752598752599,256,438,23.25
35718,313,0.2592392882326102,128,262,13.0
35809,314,0.2587509573785423,64,208,9.625
35901,315,0.2582591268775439,64,206,9.75
36007,316,0.257694765703919,64,248,11.5
36078,317,0.2573181275474495,32,156,7.125
36163,318,0.2568686681873292,64,188,8.875
36321,319,0.256037360971713,128,354,18.0
36391,320,0.25567077785277453,64,160,7.0
36517,321,0.2550135667217496,128,282,14.0
36655,322,0.2542976299460889,128,314,15.5
36754,323,0.2537864944979088,64,228,10.625
36868,324,0.2532004537352131,128,256,12.5
36999,325,0.25253035414856867,128,300,14.625
37107,326,0.25198056725865303,64,250,11.75
37195,327,0.2515343595935205,64,196,9.25
37273,328,0.2511401764008599,64,176,8.0
37423,329,0.2503855938144743,128,338,17.0
37510,330,0.2499500099980004,64,196,9.125
37601,331,0.24949601804355204,64,212,9.625
37793,332,0.24854353488557054,256,416,22.25
37892,333,0.2480552468645817,64,220,10.625
38021,334,0.24742186417529344,128,280,14.375
38174,335,0.24667482338082647,128,340,17.375
38301,336,0.24605814846164445,128,288,14.125
38452,337,0.24532893703878159,128,330,17.125
38577,338,0.2447285470955616,128,280,13.875
38719,339,0.24405005954821454,128,312,16.0
38798,340,0.24367421731841396,64,178,8.125
38932,341,0.24303935293202675,128,296,15.0
39052,342,0.24247361887026692,128,258,13.25
39135,343,0.24208385784835867,64,192,8.625
39250,344,0.24154589371980675,64,258,12.625
39338,345,0.24113584629036613,64,204,9.25
39409,346,0.24080602592999287,64,160,7.125
39497,347,0.24039848452795354,64,192,9.25
39581,348,0.2400107524817112,64,184,8.75
39715,349,0.23939480992052092,128,304,15.0
39788,350,0.23906058751529988,32,166,7.375
39907,351,0.23851775526170169,128,262,13.125
40138,352,0.2374710285345188,256,510,27.125
40360,353,0.2364737041241014,256,490,26.0
40435,354,0.23613866062151695,64,168,7.625
40516,355,0.2357778783763392,64,196,8.375
40667,356,0.23510824383546183,128,328,17.125
40859,357,0.23426226128675576,256,436,22.25
41014,358,0.2335837350973577,128,340,17.625
41069,359,0.2333439115906588,32,122,5.125
41145,360,0.23301332836238234,64,166,7.75
41212,361,0.2327226690497468,64,146,6.625
41305,362,0.23232041631818603,64,216,9.875
41398,363,0.23191955174589038,64,210,9.875
41512,364,0.23143005258090796,128,262,12.5
41562,365,0.23121601124634678,32,116,4.5
41686,366,0.23068689329347064,64,276,13.75
41741,367,0.23045297837429252,32,124,5.125
41798,368,0.23021105749751372,32,130,5.375
41907,369,0.22974984836510007,128,258,11.875
42045,370,0.22916857640480337,128,306,15.5
42175,371,0.22862368541380887,128,284,14.5
42345,372,0.22791503327559487,256,378,19.5
42414,373,0.2276286557162108,32,154,6.875
42542,374,0.2270993059845209,128,274,14.25
42657,375,0.22662581358667078,128,250,12.625
42731,376,0.22632217414133368,32,164,7.5
42804,377,0.22602343410964848,64,168,7.375
42888,378,0.22568065284899255,64,196,8.75
43052,379,0.22501440092165897,128,358,18.75
43140,380,0.22465851905104242,64,194,9.25
43261,381,0.224171015584369,128,266,13.375
43393,382,0.223641600916036,128,288,14.75
43481,383,0.223290044836641,64,192,9.25
43595,384,0.22283625991621356,128,258,12.5
43701,385,0.22241597124606324,128,230,11.5
43860,386,0.22178850248403123,128,350,18.125
43985,387,0.22129768965212004,128,276,13.875
44103,388,0.22083635143013622,64,264,13.0
44192,389,0.2204896634445777,64,196,9.375
44318,390,0.2200007040022528,128,284,14.0
44409,391,0.2196489131771776,64,202,9.625
44559,392,0.2190714874077709,128,328,17.0
44661,393,0.2186805689193681,128,238,11.0
44748,394,0.21834823923979876,64,204,9.125
44838,395,0.21800551117932263,64,190,9.5
45051,396,0.2171986585810846,256,486,24.875
45163,397,0.2167767892756187,64,250,12.25
45392,398,0.21591929800317833,256,522,26.875
45487,399,0.21556555779743736,64,214,10.125
45729,400,0.21466966631747067,256,530,28.5
45825,401,0.2143163309044149,64,210,10.25
45968,402,0.2137921598139153,128,334,16.125
46054,403,0.21347815691498445,64,190,9.0
46170,404,0.21305607635929777,128,262,12.75
46307,405,0.21255972928392877,128,306,15.375
46417,406,0.21216287319449395,128,252,12.0
46509,407,0.21183209340947992,64,208,9.75
46639,408,0.2113664417727726,128,294,14.5
46784,409,0.2108494703461305,128,326,16.375
46846,410,0.21062919152091128,32,138,6.0
46949,411,0.2102642601221215,64,228,11.125
47045,412,0.2099252666050886,64,210,10.25
47140,413,0.20959087860496312,64,226,10.125
47256,414,0.2091840149943102,128,252,12.75
47327,415,0.20893576478847342,64,164,7.125
47475,416,0.20842017507294705,128,338,16.75
47560,417,0.20812520812520813,64,194,8.875
47724,418,0.20755844845908608,128,350,18.75
47788,419,0.20733811040339703,32,146,6.25
47894,420,0.20697420273537107,64,240,11.5
47984,421,0.20666622577871835,64,210,9.5
48060,422,0.20640686922060766,64,178,7.75
48115,423,0.20621958261156478,32,122,5.125
48338,424,0.2054636904566225,256,508,26.125
48455,425,0.20506931342793863,128,262,12.875
48609,426,0.20455252090526763,128,348,17.5
48713,427,0.2042049891362946,64,228,11.25
48814,428,0.20386861075773885,64,226,10.875
48900,429,0.20358306188925082,64,188,9.0
49073,430,0.20301106004255112,128,376,19.875
49247,431,0.20243898488995415,256,388,20.0
49372,432,0.20202999741401603,128,274,13.875
49432,433,0.2018342698443454,32,138,5.75
49529,434,0.2015186445049896,128,218,10.375
49646,435,0.20113925272744826,128,268,12.875
49723,436,0.20089034601353198,64,174,7.875
49874,437,0.20040401449321832,128,324,17.125
50054,438,0.19982734917031686,256,400,20.75
50252,439,0.19919683834778174,256,444,23.0
50360,440,0.19885459751829462,128,230,11.75
50411,441,0.19869339225254726,32,118,4.625
50514,442,0.1983686164979211,128,234,11.125
50627,443,0.1980135282842524,64,254,12.375
50730,444,0.19769096947651432,64,224,11.125
50861,445,0.19728223986363852,128,300,14.625
51011,446,0.1968162995386626,128,340,17.0
51128,447,0.19645439114855096,64,260,12.875
51305,448,0.19590941148812788,128,408,20.375
51410,449,0.19558754498513534,64,236,11.375
51476,450,0.19538576966362387,32,144,6.5
51640,451,0.1948861864671032,128,350,18.75
51708,452,0.19467979068028907,64,158,6.75
51775,453,0.19447685725398678,64,154,6.625
51880,454,0.1941596769182976,128,236,11.375
51982,455,0.1938525479978909,64,226,11.0
52178,456,0.19326509786944557,256,436,22.75
52265,457,0.1930054813556705,64,206,9.125
52364,458,0.19271090281203748,128,218,10.625
52464,459,0.19241426020565236,64,216,10.75
52575,460,0.1920860545524395,128,256,12.125
52663,461,0.1918266500928441,64,200,9.25
52806,462,0.19140660888739167,128,316,16.125
52919,463,0.19107598709854934,128,264,12.375
52992,464,0.19086300616869237,32,166,7.375
53070,465,0.19063596156779014,64,178,8.0
53219,466,0.1902037462529862,128,330,16.875
53285,467,0.19001292087861973,32,146,6.5
53379,468,0.1897417993594317,64,210,10.0
53503,469,0.1893853309698044,64,274,13.75
53623,470,0.1890416345295888,128,274,13.25
53716,471,0.18877612661592363,64,206,9.875
53793,472,0.1885568612070656,64,168,7.875
53866,473,0.18834945604677095,64,166,7.375
53998,474,0.18797557821287858,128,292,14.75
54077,475,0.1877525271490154,64,180,8.125
54152,476,0.18754125907699695,64,168,7.625
54251,477,0.18726311216311367,64,224,10.625
54373,478,0.18692147802551104,128,272,13.5
54512,479,0.18653375514833165,128,320,15.625
54649,480,0.18615318173018214,128,320,15.375
54794,481,0.1857520729931346,128,334,16.375
54900,482,0.18545994065281898,128,254,11.5
55059,483,0.18502346097485162,128,352,18.125
55158,484,0.18475272695024977,64,222,10.625
55345,485,0.18424349620458397,256,414,21.625
55428,486,0.18401837239429986,64,188,8.625
55555,487,0.1836749687752553,128,286,14.125
55620,488,0.18349970640046975,32,146,6.375
55758,489,0.1831287175129655,128,304,15.5
55850,490,0.182882223847842,64,202,9.75
55935,491,0.18265507415796012,64,196,8.875
56035,492,0.18238856058947983,64,214,10.75
56206,493,0.1819346199749658,256,390,19.625
56359,494,0.18153037366212116,128,346,17.375
56472,495,0.18123296410137446,64,252,12.375
56603,496,0.1808893969871062,128,294,14.625
56696,497,0.18064628013179954,64,202,9.875
56797,498,0.18038298916259002,64,222,10.875
56907,499,0.18009710836082815,64,238,12.0
56983,500,0.1799001194536793,64,168,7.75
57110,501,0.17957190058899583,128,280,14.125
57238,502,0.17924230692018697,128,278,14.25
57368,503,0.17890879945039218,128,292,14.5
57490,504,0.17859694242034577,64,274,13.5
57563,505,0.1784108587985099,64,170,7.375
57669,506,0.17814134446835497,128,246,11.5
57764,507,0.17790048958214733,64,214,10.125
57871,508,0.1776299896264086,128,250,11.625
57977,509,0.17736282758914257,64,238,11.5
58129,510,0.17698112673264524,128,340,17.25
58193,511,0.17682090164514166,64,144,6.25
58325,512,0.17649135192375573,128,300,14.75
58472,513,0.17612579608859832,128,316,16.625
58600,514,0.17580872011251758,128,298,14.25
58714,515,0.1755272839610189,128,252,12.5
58815,516,0.1752786931220641,64,236,10.875
58904,517,0.17506022071592628,64,206,9.375
58953,518,0.1749401704617021,32,110,4.375
59069,519,0.17465662507510235,64,258,12.75
59164,520,0.1744250948872516,64,208,10.125
59251,521,0.17421359981045562,64,196,9.125
59365,522,0.17393724344256592,128,246,12.5
59512,523,0.17358218074765316,128,322,16.625
59655,524,0.173238167833137,128,316,16.125
59814,525,0.1728572613878364,128,344,18.125
59915,526,0.17261617068286958,64,222,10.875
60013,527,0.17238288306924276,64,222,10.5
60096,528,0.17218579536062592,64,186,8.625
